Name,Diet,State,Price,City
Currivepillai sadam ,vegetarian,Tamil Nadu,133,Chennai
Sattu ki roti,vegetarian,Bihar,133,Patna
Petha,vegetarian,Uttar Pradesh,65,Agra
Mahim halwa,vegetarian,Maharashtra,59,Mumbai
Samosa,vegetarian,Uttar Pradesh,25,Allahabad
Chicken Tikka masala,non vegetarian,Punjab,137,Chandigarh
Muthiya,vegetarian,Gujarat,56,Surat
Prawn malai curry,non vegetarian,West Bengal,95,Kolkata
Pesarattu,vegetarian,Andhra Pradesh,25,Vijayawada
Sheer korma,vegetarian,Telangana,82,Hyderabad
Bajri no rotlo,vegetarian,Gujarat,142,Rajkot
Kadhi pakoda,vegetarian,Haryana,115,Chandigarh
Chingri malai curry,non vegetarian,West Bengal,116,Kolkata
Balu shahi,vegetarian,West Bengal,49,Kolkata
Poriyal,vegetarian,Tamil Nadu,148,Chennai
Qubani ka meetha,vegetarian,Telangana,50,Hyderabad
Saath,vegetarian,Gujarat,117,Surat
Veg Kolhapuri,vegetarian,Maharashtra,104,Kolhapur
Upma,vegetarian,Unknown,37,Chennai
Pesarattu,vegetarian,Andhra Pradesh,22,Vijayawada
Chhena kheeri,vegetarian,Odisha,80,Puri
Red Rice,vegetarian,Unknown,133,Palakkad
Rajma chaval,vegetarian,Punjab,96,Pathankot
Surnoli,vegetarian,Maharashtra,24,Malvan
Halvasan,vegetarian,Gujarat,58,Khambhat
Khar,vegetarian,Assam,111,Guwahati
Copra paak,vegetarian,Gujarat,80,Surat
Biryani,non vegetarian,Telangana,143,Hyderabad
Mihidana,vegetarian,West Bengal,39,Bardhaman
Sambar,vegetarian,Unknown,84,Chennai
Veg Kolhapuri,vegetarian,Maharashtra,105,Kolhapur
Payasam,vegetarian,Unknown,59,Trivandrum
Kos kootu,vegetarian,Tamil Nadu,129,Chennai
Surnoli,vegetarian,Maharashtra,32,Malvan
Chhena poda,vegetarian,Odisha,37,Nayagarh
Misti doi,vegetarian,West Bengal,38,Kolkata
Balu shahi,vegetarian,West Bengal,53,Kolkata
Chicken Varuval,non vegetarian,Tamil Nadu,122,Chettinad
Doodhpak,vegetarian,Gujarat,72,Surat
Jalebi,vegetarian,Uttar Pradesh,50,Varanasi
Farsi Puri,vegetarian,Gujarat,44,Surat
Anarsa,vegetarian,Maharashtra,26,Nashik
Imarti,vegetarian,West Bengal,36,Kolkata
Kumol Sawul,non vegetarian,Assam,102,Guwahati
Sukhdi,vegetarian,Maharashtra,64,Mumbai
Lassi,vegetarian,Punjab,63,Amritsar
Sabudana Khichadi,vegetarian,Maharashtra,57,Pune
Dhokla,vegetarian,Gujarat,28,Ahmedabad
Ledikeni,vegetarian,West Bengal,32,Kolkata
Theeyal,vegetarian,Kerala,102,Trivandrum
Gulab jamun,vegetarian,West Bengal,30,Kolkata
Lassi,vegetarian,Punjab,62,Amritsar
Mysore pak,vegetarian,Karnataka,68,Mysore
Mysore pak,vegetarian,Karnataka,75,Mysore
Chakali,vegetarian,Maharashtra,23,Mumbai
Kootu,vegetarian,Tamil Nadu,120,Chennai
Aloo shimla mirch,vegetarian,Punjab,100,Jalandhar
Sohan halwa,vegetarian,Uttar Pradesh,37,Lucknow
Shufta,vegetarian,Jammu & Kashmir,29,Srinagar
Uttapam,vegetarian,Unknown,49,Chennai
Chhena poda,vegetarian,Odisha,36,Nayagarh
Boondi,vegetarian,Rajasthan,72,Jaipur
Laddu,vegetarian,Unknown,46,New Delhi
Pork Bharta,non vegetarian,Tripura,94,Agartala
Gajar ka halwa,vegetarian,Punjab,44,Ludhiana
Avial,vegetarian,Kerala,118,Trivandrum
Muthiya,vegetarian,Gujarat,50,Surat
Chakali,vegetarian,Maharashtra,21,Mumbai
Chingri malai curry,non vegetarian,West Bengal,113,Kolkata
Undhiyu,vegetarian,Gujarat,118,Surat
Masor tenga,non vegetarian,Assam,84,Guwahati
Dharwad pedha,vegetarian,Karnataka,69,Dharwad
Sabudana Khichadi,vegetarian,Maharashtra,58,Pune
Cheera Doi,vegetarian,West Bengal,32,Kolkata
Kalakand,vegetarian,West Bengal,35,Kolkata
Palathalikalu,vegetarian,Andhra Pradesh,37,Amalapuram
Keerai masiyal,vegetarian,Tamil Nadu,100,Chennai
Rongi,vegetarian,Punjab,116,Jammu
Sandesh,vegetarian,West Bengal,61,Kolkata
Chana masala,vegetarian,Punjab,115,Amritsar
Pinaca,vegetarian,Goa,44,Margao
Shankarpali,vegetarian,Maharashtra,50,Mumbai
Kansar,vegetarian,Gujarat,115,Surat
Pani Pitha,vegetarian,Assam,81,Guwahati
Qubani ka meetha,vegetarian,Telangana,47,Hyderabad
Kuzhakkattai,vegetarian,Tamil Nadu,96,Chennai
Adhirasam,vegetarian,West Bengal,69,Kolkata
Aloo shimla mirch,vegetarian,Punjab,96,Jalandhar
Samosa,vegetarian,Uttar Pradesh,25,Allahabad
Undhiyu,vegetarian,Gujarat,122,Surat
Zunka,vegetarian,Maharashtra,131,Pune
Luchi,vegetarian,West Bengal,109,Kolkata
Keerai kootu,vegetarian,Tamil Nadu,123,Chennai
Bombil fry,non vegetarian,Maharashtra,138,Mumbai
Lauki ke kofte,vegetarian,Uttar Pradesh,133,Lucknow
Rabri,vegetarian,Uttar Pradesh,60,Mathura
Balu shahi,vegetarian,West Bengal,47,Kolkata
Jeera Aloo,vegetarian,Gujarat,92,Ahmedabad
Chicken razala,non vegetarian,West Bengal,131,Kolkata
Kos kootu,vegetarian,Tamil Nadu,127,Chennai
Puttu,vegetarian,Kerala,77,Kochi
Pantua,vegetarian,West Bengal,73,Ranaghat
Dhokla,vegetarian,Gujarat,35,Ahmedabad
Kajjikaya,vegetarian,Andhra Pradesh,61,Kakinada
Shufta,vegetarian,Jammu & Kashmir,35,Srinagar
Thalipeeth,vegetarian,Maharashtra,78,Pune
Coconut vadi,vegetarian,Maharashtra,28,Mumbai
Vegetable jalfrezi,vegetarian,Punjab,93,Chandigarh
Kajjikaya,vegetarian,Andhra Pradesh,54,Kakinada
Kuzhambu,vegetarian,Tamil Nadu,123,Chettinad
Sev khamani,vegetarian,Gujarat,97,Surat
Sheera,vegetarian,Maharashtra,82,Mumbai
Masor tenga,non vegetarian,Assam,82,Guwahati
Shufta,vegetarian,Jammu & Kashmir,34,Srinagar
Surnoli,vegetarian,Maharashtra,32,Malvan
Lyangcha,vegetarian,Assam,77,Guwahati
Palak paneer,vegetarian,Punjab,133,Chandigarh
Bora Sawul,vegetarian,Assam,131,Guwahati
Chapati,vegetarian,Maharashtra,100,Mumbai
Baingan Fry,vegetarian,Punjab,82,Patiala
Mushroom do pyaza,vegetarian,Punjab,139,Chandigarh
Farsi Puri,vegetarian,Gujarat,44,Surat
Pav Bhaji,vegetarian,Maharashtra,122,Mumbai
Theeyal,vegetarian,Kerala,99,Trivandrum
Idiappam,vegetarian,Tamil Nadu,32,Madurai
Boondi,vegetarian,Rajasthan,75,Jaipur
Dosa,vegetarian,Tamil Nadu,32,Chennai
Pakhala,vegetarian,Odisha,144,Bhubaneswar
Chicken Varuval,non vegetarian,Tamil Nadu,122,Chettinad
Dharwad pedha,vegetarian,Karnataka,68,Dharwad
Patra,vegetarian,Gujarat,19,Surat
Til Pitha,vegetarian,Assam,57,Guwahati
Laapsi,vegetarian,Madhya Pradesh,114,Indore
Boondi,vegetarian,Rajasthan,76,Jaipur
Boondi,vegetarian,Rajasthan,75,Jaipur
Khakhra,vegetarian,Gujarat,56,Rajkot
Chicken Tikka masala,non vegetarian,Punjab,134,Chandigarh
Handwo,vegetarian,Gujarat,25,Ahmedabad
Brown Rice,vegetarian,Unknown,141,Generic
Pesarattu,vegetarian,Andhra Pradesh,21,Vijayawada
Gavvalu,vegetarian,Andhra Pradesh,50,Vijayawada
Kulfi falooda,vegetarian,Unknown,60,New Delhi
Uttapam,vegetarian,Unknown,56,Chennai
Undhiyu,vegetarian,Gujarat,118,Surat
Kabiraji,non vegetarian,West Bengal,113,Kolkata
Sambar,vegetarian,Unknown,75,Chennai
Shufta,vegetarian,Jammu & Kashmir,31,Srinagar
Pesarattu,vegetarian,Andhra Pradesh,26,Vijayawada
Shahi paneer,vegetarian,Punjab,89,Chandigarh
Kumol Sawul,non vegetarian,Assam,99,Guwahati
Kombdi vade,vegetarian,Maharashtra,31,Malvan
Bombil fry,non vegetarian,Maharashtra,136,Mumbai
Pesarattu,vegetarian,Andhra Pradesh,20,Vijayawada
Kombdi vade,vegetarian,Maharashtra,26,Malvan
Khorisa,vegetarian,Assam,85,Guwahati
Puttu,vegetarian,Kerala,82,Kochi
Singori,vegetarian,Uttarakhand,46,Almora
Aloo matar,vegetarian,Punjab,91,Ludhiana
Keerai kootu,vegetarian,Tamil Nadu,122,Chennai
Poornalu,vegetarian,Andhra Pradesh,32,Visakhapatnam
Poriyal,vegetarian,Tamil Nadu,152,Chennai
Mishti Chholar Dal,vegetarian,West Bengal,79,Kolkata
Lauki ke kofte,vegetarian,Uttar Pradesh,141,Lucknow
Dharwad pedha,vegetarian,Karnataka,66,Dharwad
Namakpara,vegetarian,Gujarat,41,Ahmedabad
Shahi paneer,vegetarian,Punjab,83,Chandigarh
Churma Ladoo,vegetarian,Rajasthan,37,Jaipur
Sohan halwa,vegetarian,Uttar Pradesh,33,Lucknow
Palathalikalu,vegetarian,Andhra Pradesh,40,Amalapuram
Mawa Bati,vegetarian,Madhya Pradesh,53,Bhopal
Rabri,vegetarian,Uttar Pradesh,68,Mathura
Dal makhani ,vegetarian,Punjab,121,Amritsar
Koldil Chicken,non vegetarian,Assam,89,Guwahati
Mushroom do pyaza,vegetarian,Punjab,140,Chandigarh
Kajjikaya,vegetarian,Andhra Pradesh,55,Kakinada
Sabudana Khichadi,vegetarian,Maharashtra,57,Pune
Singori,vegetarian,Uttarakhand,42,Almora
Papad,vegetarian,Unknown,24,Mumbai
Kheer sagar,vegetarian,Odisha,65,Puri
Dharwad pedha,vegetarian,Karnataka,64,Dharwad
Thalipeeth,vegetarian,Maharashtra,86,Pune
Pattor,vegetarian,Rajasthan,136,Jaipur
Coconut vadi,vegetarian,Maharashtra,32,Mumbai
Avial,vegetarian,Kerala,121,Trivandrum
Vindaloo,non vegetarian,Goa,144,Panaji
Chhena jalebi,vegetarian,Odisha,40,Puri
Kutchi dabeli,vegetarian,Gujarat,59,Mandvi
Kuzhakkattai,vegetarian,Tamil Nadu,99,Chennai
Kheer sagar,vegetarian,Odisha,69,Puri
Kansar,vegetarian,Gujarat,109,Surat
Kheer sagar,vegetarian,Odisha,67,Puri
Paruppu sadam,vegetarian,Tamil Nadu,102,Chennai
Gulab jamun,vegetarian,West Bengal,34,Kolkata
Pav Bhaji,vegetarian,Maharashtra,118,Mumbai
Kheer sagar,vegetarian,Odisha,64,Puri
Aloo gobi,vegetarian,Punjab,132,Amritsar
Kutchi dabeli,vegetarian,Gujarat,60,Mandvi
Sandige,vegetarian,Karnataka,140,Mangalore
Currivepillai sadam ,vegetarian,Tamil Nadu,136,Chennai
Idli,vegetarian,Tamil Nadu,39,Chennai
Sheera,vegetarian,Maharashtra,83,Mumbai
Sevai,vegetarian,Unknown,125,Chennai
Shahi paneer,vegetarian,Punjab,82,Chandigarh
Kumol Sawul,non vegetarian,Assam,101,Guwahati
Makki di roti sarson da saag,vegetarian,Punjab,140,Amritsar
Koshimbir,vegetarian,Maharashtra,131,Pune
Kutchi dabeli,vegetarian,Gujarat,55,Mandvi
Copra paak,vegetarian,Gujarat,87,Surat
Palathalikalu,vegetarian,Andhra Pradesh,36,Amalapuram
Samosa,vegetarian,Uttar Pradesh,30,Allahabad
Mushroom do pyaza,vegetarian,Punjab,139,Chandigarh
Poornalu,vegetarian,Andhra Pradesh,29,Visakhapatnam
Mushroom do pyaza,vegetarian,Punjab,142,Chandigarh
Undhiyu,vegetarian,Gujarat,120,Surat
Dudhi halwa,vegetarian,Gujarat,41,Ahmedabad
Paravannam,vegetarian,Kerala,78,Trivandrum
Puli sadam,vegetarian,Tamil Nadu,138,Chennai
Paruppu sadam,vegetarian,Tamil Nadu,95,Chennai
Kootu,vegetarian,Tamil Nadu,121,Chennai
Mag Dhokli,vegetarian,Gujarat,40,Ahmedabad
Zunka,vegetarian,Maharashtra,138,Pune
Chevdo,vegetarian,Gujarat,48,Vadodara
Biryani,non vegetarian,Telangana,145,Hyderabad
Dum aloo,vegetarian,Jammu & Kashmir,138,Srinagar
Khorisa,vegetarian,Assam,83,Guwahati
Kakinada khaja,vegetarian,Andhra Pradesh,35,Kakinada
Poornalu,vegetarian,Andhra Pradesh,30,Visakhapatnam
Rongi,vegetarian,Punjab,116,Jammu
Ledikeni,vegetarian,West Bengal,29,Kolkata
Zunka,vegetarian,Maharashtra,135,Pune
Tandoori Fish Tikka,non vegetarian,Punjab,100,Amritsar
Maach Jhol,non vegetarian,Assam,124,Guwahati
Kaju katli,vegetarian,Unknown,31,New Delhi
Pork Bharta,non vegetarian,Tripura,87,Agartala
Kos kootu,vegetarian,Tamil Nadu,133,Chennai
Pav Bhaji,vegetarian,Maharashtra,118,Mumbai
Fara,vegetarian,Chhattisgarh,62,Raipur
Rajma chaval,vegetarian,Punjab,100,Pathankot
Kachori,vegetarian,Uttar Pradesh,47,Varanasi
Aloo matar,vegetarian,Punjab,94,Ludhiana
Malapua,vegetarian,Bihar,39,Patna
Veg Kolhapuri,vegetarian,Maharashtra,104,Kolhapur
Pav Bhaji,vegetarian,Maharashtra,127,Mumbai
Naan,vegetarian,Punjab,122,Amritsar
Makki di roti sarson da saag,vegetarian,Punjab,141,Amritsar
Jeera Aloo,vegetarian,Gujarat,86,Ahmedabad
Pithe,vegetarian,Assam,51,Guwahati
Zunka,vegetarian,Maharashtra,132,Pune
Makki di roti sarson da saag,vegetarian,Punjab,139,Amritsar
Malapua,vegetarian,Bihar,37,Patna
Kajjikaya,vegetarian,Andhra Pradesh,54,Kakinada
Pootharekulu,vegetarian,Andhra Pradesh,61,Atreyapuram
Coconut vadi,vegetarian,Maharashtra,34,Mumbai
Singori,vegetarian,Uttarakhand,37,Almora
Mushroom matar,vegetarian,Punjab,119,Chandigarh
Obbattu holige,vegetarian,Karnataka,106,Bangalore
Kulfi falooda,vegetarian,Unknown,54,New Delhi
Chhena jalebi,vegetarian,Odisha,42,Puri
Halvasan,vegetarian,Gujarat,54,Khambhat
Keerai masiyal,vegetarian,Tamil Nadu,102,Chennai
Kumol Sawul,non vegetarian,Assam,99,Guwahati
Attu,vegetarian,Andhra Pradesh,50,Visakhapatnam
Sandige,vegetarian,Karnataka,139,Mangalore
Patra,vegetarian,Gujarat,26,Surat
Sambar,vegetarian,Unknown,84,Chennai
Panjeeri,vegetarian,Uttar Pradesh,48,Kanpur
Masor tenga,non vegetarian,Assam,80,Guwahati
Mohanthal,vegetarian,Gujarat,40,Ahmedabad
Sev khamani,vegetarian,Gujarat,101,Surat
Chicken razala,non vegetarian,West Bengal,134,Kolkata
Kalakand,vegetarian,West Bengal,41,Kolkata
Alu Pitika,non vegetarian,Assam,80,Guwahati
Veg Kolhapuri,vegetarian,Maharashtra,108,Kolhapur
Maach Jhol,non vegetarian,Assam,125,Guwahati
Jeera Aloo,vegetarian,Gujarat,91,Ahmedabad
Kheer,vegetarian,Unknown,26,New Delhi
Upma,vegetarian,Unknown,38,Chennai
Thepla,vegetarian,Gujarat,55,Ahmedabad
Dal tadka,vegetarian,Punjab,111,Chandigarh
Kheer sagar,vegetarian,Odisha,69,Puri
Aloo gobi,vegetarian,Punjab,131,Amritsar
Kumol Sawul,non vegetarian,Assam,97,Guwahati
Chingri malai curry,non vegetarian,West Bengal,117,Kolkata
Vindaloo,non vegetarian,Goa,140,Panaji
Lilva Kachori,vegetarian,Gujarat,24,Valsad
Pongal,vegetarian,Tamil Nadu,51,Chennai
Cheera Doi,vegetarian,West Bengal,30,Kolkata
Mushroom do pyaza,vegetarian,Punjab,141,Chandigarh
Vada,vegetarian,Unknown,40,Chennai
Undhiyu,vegetarian,Gujarat,114,Surat
Anarsa,vegetarian,Maharashtra,30,Nashik
Singori,vegetarian,Uttarakhand,44,Almora
Kalakand,vegetarian,West Bengal,33,Kolkata
Makki di roti sarson da saag,vegetarian,Punjab,145,Amritsar
Chingri malai curry,non vegetarian,West Bengal,116,Kolkata
Rajma chaval,vegetarian,Punjab,94,Pathankot
Kuzhakkattai,vegetarian,Tamil Nadu,99,Chennai
Malapua,vegetarian,Bihar,39,Patna
Mawa Bati,vegetarian,Madhya Pradesh,57,Bhopal
Currivepillai sadam ,vegetarian,Tamil Nadu,135,Chennai
Kolim Jawla,non vegetarian,Maharashtra,101,Mumbai
Mushroom matar,vegetarian,Punjab,116,Chandigarh
Mawa Bati,vegetarian,Madhya Pradesh,51,Bhopal
Khorisa,vegetarian,Assam,78,Guwahati
Gavvalu,vegetarian,Andhra Pradesh,50,Vijayawada
Kheer sagar,vegetarian,Odisha,69,Puri
Poriyal,vegetarian,Tamil Nadu,148,Chennai
Naan,vegetarian,Punjab,127,Amritsar
Nankhatai,vegetarian,Unknown,47,Surat
Keerai masiyal,vegetarian,Tamil Nadu,102,Chennai
Handwo,vegetarian,Gujarat,33,Ahmedabad
Vindaloo,non vegetarian,Goa,150,Panaji
Shankarpali,vegetarian,Maharashtra,50,Mumbai
Kheer,vegetarian,Unknown,25,New Delhi
Vindaloo,non vegetarian,Goa,141,Panaji
Sambar,vegetarian,Unknown,83,Chennai
Kalakand,vegetarian,West Bengal,34,Kolkata
Methi na Gota,vegetarian,Gujarat,136,Dakor
Kachori,vegetarian,Uttar Pradesh,51,Varanasi
Mahim halwa,vegetarian,Maharashtra,60,Mumbai
Kulfi falooda,vegetarian,Unknown,59,New Delhi
Khandvi,vegetarian,Gujarat,41,Ahmedabad
Halvasan,vegetarian,Gujarat,53,Khambhat
Pindi chana,vegetarian,Punjab,134,Rawalpindi
Currivepillai sadam ,vegetarian,Tamil Nadu,133,Chennai
Mysore pak,vegetarian,Karnataka,68,Mysore
Rajma chaval,vegetarian,Punjab,97,Pathankot
Payokh,vegetarian,Assam,62,Tezpur
Pachadi,vegetarian,Unknown,130,Kochi
Sheer korma,vegetarian,Telangana,76,Hyderabad
Mushroom matar,vegetarian,Punjab,115,Chandigarh
Dudhi halwa,vegetarian,Gujarat,47,Ahmedabad
Chakali,vegetarian,Maharashtra,30,Mumbai
Luchi,vegetarian,West Bengal,104,Kolkata
Bhatura,vegetarian,Punjab,116,Amritsar
Chingri malai curry,non vegetarian,West Bengal,113,Kolkata
Malapua,vegetarian,Bihar,43,Patna
Unni Appam,vegetarian,Tamil Nadu,64,Kottayam
Kulfi falooda,vegetarian,Unknown,56,New Delhi
Lassi,vegetarian,Punjab,59,Amritsar
Laddu,vegetarian,Unknown,37,New Delhi
Pithe,vegetarian,Assam,41,Guwahati
Mag Dhokli,vegetarian,Gujarat,41,Ahmedabad
Kulfi falooda,vegetarian,Unknown,55,New Delhi
Chakali,vegetarian,Maharashtra,28,Mumbai
Pani puri,vegetarian,Uttar Pradesh,57,Varanasi
Puri Bhaji,vegetarian,Maharashtra,153,Mumbai
Pav Bhaji,vegetarian,Maharashtra,127,Mumbai
Khichu,vegetarian,Gujarat,29,Surat
Rongi,vegetarian,Punjab,112,Jammu
Koldil Duck,non vegetarian,Assam,93,Guwahati
Bhindi masala,vegetarian,Punjab,136,Ludhiana
Sutar feni,vegetarian,Maharashtra,75,Mumbai
Modak,vegetarian,Maharashtra,52,Pune
Chevdo,vegetarian,Gujarat,39,Vadodara
Shrikhand,vegetarian,Maharashtra,31,Pune
Khaman,vegetarian,Gujarat,40,Surat
Churma Ladoo,vegetarian,Rajasthan,38,Jaipur
Paratha,vegetarian,Punjab,136,Amritsar
Amti,vegetarian,Maharashtra,96,Pune
Bombil fry,non vegetarian,Maharashtra,142,Mumbai
Bombil fry,non vegetarian,Maharashtra,140,Mumbai
Shahi tukra,vegetarian,Telangana,44,Hyderabad
Bhatura,vegetarian,Punjab,117,Amritsar
Brown Rice,vegetarian,Unknown,148,Generic
Kaju katli,vegetarian,Unknown,33,New Delhi
Boondi,vegetarian,Rajasthan,74,Jaipur
Khar,vegetarian,Assam,114,Guwahati
Phirni,vegetarian,Odisha,29,Cuttack
Shahi paneer,vegetarian,Punjab,86,Chandigarh
Pongal,vegetarian,Tamil Nadu,49,Chennai
Veg Kolhapuri,vegetarian,Maharashtra,100,Kolhapur
Dalithoy,vegetarian,Maharashtra,137,Mumbai
Chingri malai curry,non vegetarian,West Bengal,119,Kolkata
Makki di roti sarson da saag,vegetarian,Punjab,138,Amritsar
Aloo methi,vegetarian,Punjab,136,Amritsar
Chana masala,vegetarian,Punjab,116,Amritsar
Phirni,vegetarian,Odisha,36,Cuttack
Chole bhature,vegetarian,Punjab,115,Amritsar
Basundi,vegetarian,Gujarat,36,Vadodara
Palathalikalu,vegetarian,Andhra Pradesh,43,Amalapuram
Sandige,vegetarian,Karnataka,137,Mangalore
Modak,vegetarian,Maharashtra,60,Pune
Sattu ki roti,vegetarian,Bihar,126,Patna
Chikki,vegetarian,Maharashtra,32,Lonavala
Kofta,vegetarian,Uttar Pradesh,79,Lucknow
Aloo tikki,vegetarian,Punjab,101,Amritsar
Kalakand,vegetarian,West Bengal,41,Kolkata
Kos kootu,vegetarian,Tamil Nadu,132,Chennai
Singori,vegetarian,Uttarakhand,36,Almora
Cheera Doi,vegetarian,West Bengal,37,Kolkata
Biryani,non vegetarian,Telangana,136,Hyderabad
Kachori,vegetarian,Uttar Pradesh,50,Varanasi
Thalipeeth,vegetarian,Maharashtra,84,Pune
Chikki,vegetarian,Maharashtra,36,Lonavala
Papadum,vegetarian,Kerala,17,Guruvayur
Kadhi pakoda,vegetarian,Haryana,120,Chandigarh
Kalakand,vegetarian,West Bengal,36,Kolkata
Payasam,vegetarian,Unknown,51,Trivandrum
Shahi paneer,vegetarian,Punjab,91,Chandigarh
Khorisa,vegetarian,Assam,87,Guwahati
Petha,vegetarian,Uttar Pradesh,66,Agra
Vegetable jalfrezi,vegetarian,Punjab,94,Chandigarh
Red Rice,vegetarian,Unknown,134,Palakkad
Mushroom do pyaza,vegetarian,Punjab,142,Chandigarh
Saath,vegetarian,Gujarat,120,Surat
Mushroom matar,vegetarian,Punjab,121,Chandigarh
Double ka meetha,vegetarian,Telangana,37,Hyderabad
Kulfi falooda,vegetarian,Unknown,61,New Delhi
Bebinca,vegetarian,Goa,49,Panaji
Bisi bele bath,vegetarian,Karnataka,143,Mysore
