City,Ratings,Ideal_duration,best_time,desc,Cluster,State,Unnamed: 7
Kodaikanal,4.3,2-3 days,September-May,[' Kodaikanal is a hill town...'],4,Tamil Nadu,
Dalhousie,4.2,2-3 days,March-June,[' Dalhousie is a high-altitude town...'],4,Himachal Pradesh,
Pachmarhi,4.2,2-3 days,October-June,[' Pachmarhi is a hill station...'],4,Madhya Pradesh,
Varanasi,4.3,2-3 days,October-March,[' Varanasi is a city in the northern Indian state...'],0,Uttar Pradesh,
Mumbai,4.4,2-3 days,October-March,[' Mumbai (formerly called Bombay) is a densely populated city...'],0,Maharashtra,
Agra,4.2,1-2 days,October-March,[' Agra is a city on the banks of the Yamuna river...'],0,Uttar Pradesh,
Kolkata,4.3,2-3 days,October-March,[' Kolkata (formerly Calcutta) is the capital...'],0,West Bengal,
Jodhpur,4.3,2-3 days,October-March,[' Jodhpur is a city in the Thar Desert...'],0,Rajasthan,
Bangalore,4.3,2-3 days,October-February,[' Bengaluru (also called Bangalore) is the capital...'],0,Karnataka,
Amritsar,4.3,1-2 days,October-March,[' Amritsar is a city in the northwestern Indian state...'],0,Punjab,
Delhi,4.4,2-3 days,October-March,"[' Delhi, India’s capital territory...']",0,Delhi,
Jaisalmer,4.3,2-3 days,October-March,[' Jaisalmer is a former medieval trading center...'],0,Rajasthan,
Mount Abu,4.2,2-3 days,October-March,[' Mount Abu is a hill station...'],4,Rajasthan,
Wayanad,4.2,2-3 days,October-May,[' Wayanad is a rural district...'],0,Kerala,
Hyderabad,4.3,2-3 days,October-March,[' Hyderabad is the capital of southern India...'],0,Telangana,
Pondicherry,4.3,2-3 days,October-March,[' Pondicherry (or Puducherry) is a Union Territory...'],0,Puducherry,
Khajuraho,4.3,1-2 days,October-March,[' Khajuraho is a group of monuments...'],0,Madhya Pradesh,
Chennai,4.1,2-3 days,October-March,"[' Chennai, on the Bay of Bengal...']",0,Tamil Nadu,
Vaishno Devi,4.4,2-3 days,March-October,[' Vaishno Devi is a manifestation of the Hindu Mother Goddess...'],0,Jammu And Kashmir,
Ajanta And Ellora Caves,4.4,2-3 days,October-March,[' The Ajanta and Ellora Caves are located...'],0,Maharashtra,
Haridwar,4.2,2-3 days,October-March,[' Haridwar is an ancient city...'],0,Uttarakhand,
Kanyakumari,4.2,1-2 days,October-March,[' Kanyakumari is a coastal town...'],0,Tamil Nadu,
Pune,4.2,2-3 days,October-March,[' Pune is a sprawling city...'],0,Maharashtra,
Kochi,4.2,2-3 days,October-March,[' Kochi (also known as Cochin) is a city...'],0,Kerala,
Ahmedabad,4.2,2-3 days,October-March,[' Ahmedabad is the largest city...'],0,Gujarat,
Kanha National Park,4.4,2-3 days,October-June,[' Kanha National Park is a vast expanse...'],0,Madhya Pradesh,
Mysore,4.3,1-2 days,October-March,[' Mysore (or Mysuru) is a city...'],0,Karnataka,
Chandigarh,4.2,1-2 days,October-March,[' Chandigarh is a city...'],0,Chandigarh,
Hampi,4.5,2-3 days,October-March,[' Hampi is an ancient village...'],0,Karnataka,
Gulmarg,4.4,2-3 days,October-March,[' Gulmarg is a town...'],4,Jammu And Kashmir,
Almora,4.1,2-3 days,April-June,[' Almora is a municipal board...'],4,Uttarakhand,
Shirdi,4.2,1-2 days,October-March,[' Shirdi is a town...'],0,Maharashtra,
Auli,4.4,2-3 days,January-March,[' Auli is a ski destination...'],4,Uttarakhand,
Madurai,4.2,1-2 days,October-March,"[' Madurai is an energetic, ancient city...']",0,Tamil Nadu,
Amarnath,4.3,3-5 days,July-August,[' Amarnath cave is a Hindu shrine...'],0,Jammu And Kashmir,
Bodh Gaya,4.3,1-2 days,October-March,[' Bodh Gaya is a religious site...'],0,Bihar,
Mahabaleshwar,4.2,2-3 days,October-June,[' Mahabaleshwar is a hill station...'],4,Maharashtra,
Visakhapatnam,4.2,2-3 days,October-March,[' Visakhapatnam is a port city...'],0,Andhra Pradesh,
Kasol,4.4,2-3 days,October-June,[' Kasol is a hamlet...'],4,Himachal Pradesh,
Nashik,4.1,1-2 days,October-March,[' Nashik is an ancient holy city...'],0,Maharashtra,
Tirupati,4.3,1-2 days,September-February,[' Tirupati is a city...'],0,Andhra Pradesh,
Ujjain,4.2,1-2 days,October-March,[' Ujjain is an ancient city...'],0,Madhya Pradesh,
Jim Corbett National Park,4.4,2-3 days,November-June,[' Jim Corbett National Park is a forested wildlife sanctuary...'],0,Uttarakhand,
Gwalior,4.2,1-2 days,October-March,[' Gwalior is a city...'],0,Madhya Pradesh,
Mathura,4.1,1-2 days,October-March,[' Mathura is a sacred city...'],0,Uttar Pradesh,
Jog Falls,4.3,1-2 days,August-December,[' Jog Falls is a waterfall...'],0,Karnataka,
Alibaug,4.1,1-2 days,October-March,[' Alibaug is a coastal town...'],0,Maharashtra,
Rameshwaram,4.2,1-2 days,October-March,[' Rameswaram is a town...'],0,Tamil Nadu,
Vrindavan,4.2,1-2 days,October-March,[' Vrindavan is a holy town...'],0,Uttar Pradesh,
Coimbatore,4.1,1-2 days,September-March,[' Coimbatore is a city...'],0,Tamil Nadu,
Lucknow,4.2,2-3 days,October-March,[' Lucknow is a large city...'],0,Uttar Pradesh,
Digha,4,1-2 days,October-March,[' Digha is a seaside resort town...'],0,West Bengal,
Dharamshala,4.3,2-3 days,March-June,[' Dharamshala is a city...'],4,Himachal Pradesh,
Kovalam,4.2,2-3 days,September-March,[' Kovalam is a small coastal town...'],0,Kerala,
Kaziranga National Park,4.4,2-3 days,November-April,[' Kaziranga National Park...'],0,Assam,
Madikeri,4.2,2-3 days,October-May,[' Madikeri is a hill station...'],4,Karnataka,
Matheran,4.1,1-2 days,October-May,[' Matheran is a hill station...'],4,Maharashtra,
Ranthambore,4.4,2-3 days,October-June,[' Ranthambore National Park...'],0,Rajasthan,
Agartala,4,1-2 days,October-March,[' Agartala is the capital city...'],0,Tripura,
Khandala,4,1-2 days,October-May,[' Khandala is a hill station...'],4,Maharashtra,
Kalimpong,4.2,2-3 days,March-June,[' Kalimpong is a hill station...'],4,West Bengal,
Thanjavur,4.3,1-2 days,October-March,[' Thanjavur is a city...'],0,Tamil Nadu,
Bhubaneswar,4.1,2-3 days,October-March,[' Bhubaneswar is an ancient city...'],0,Odisha,
Ajmer,4.1,1-2 days,October-March,[' Ajmer is a city...'],0,Rajasthan,
Aurangabad,4.2,2-3 days,October-March,[' Aurangabad is a city...'],0,Maharashtra,
Jammu,4,1-2 days,September-April,[' Jammu is the winter capital...'],0,Jammu And Kashmir,
Dehradun,4.1,2-3 days,March-June,[' Dehradun is the capital...'],0,Uttarakhand,
Puri,4.3,2-3 days,October-March,[' Puri is a coastal city...'],0,Odisha,
Cherrapunji,4.4,2-3 days,October-May,[' Cherrapunji is a subdivisional town...'],0,Meghalaya,
Bikaner,4.1,1-2 days,October-March,[' Bikaner is a city...'],0,Rajasthan,
Shimoga (Shivamogga),4.1,1-2 days,October-March,[' Shimoga is a city...'],0,Karnataka,
Hogenakkal,4.1,1-2 days,October-March,[' Hogenakkal is a waterfall...'],0,Tamil Nadu,
Gir National Park,4.3,2-3 days,December-March,[' Gir National Park is a wildlife sanctuary...'],0,Gujarat,
Kasauli,4.1,1-2 days,April-June,[' Kasauli is a small hill town...'],4,Himachal Pradesh,
Pushkar,4.1,1-2 days,October-March,[' Pushkar is a town...'],0,Rajasthan,
Chittorgarh,4.2,1-2 days,October-March,[' Chittorgarh is a city...'],0,Rajasthan,
Nahan,4,1-2 days,September-March,[' Nahan is a town...'],4,Himachal Pradesh,
Lavasa,4,1-2 days,September-March,"[' Lavasa is a private, planned city...']",4,Maharashtra,
Poovar,4.3,1-2 days,September-March,[' Poovar is a tourist town...'],0,Kerala,
Vijayawada,4.2,2-3 days,October-March,"[' Vijayawada is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,Andhra Pradesh,
Guntur,4,1-2 days,October-March,"[' Guntur is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Andhra Pradesh,
Nellore,3.8,1-2 days,October-March,"[' Nellore is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Andhra Pradesh,
Kurnool,4.1,2-3 days,October-March,"[' Kurnool is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,Andhra Pradesh,
Rajahmundry,4.3,2-3 days,October-March,"[' Rajahmundry is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",4,Andhra Pradesh,
Kakinada,4.2,1-2 days,October-March,"[' Kakinada is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Andhra Pradesh,
Anantapur,3.9,1-2 days,October-March,"[' Anantapur is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Andhra Pradesh,
Kadapa,4,2-3 days,October-March,"[' Kadapa is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,Andhra Pradesh,
Vizianagaram,3.7,1-2 days,October-March,"[' Vizianagaram is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Andhra Pradesh,
Eluru,3.8,1-2 days,October-March,"[' Eluru is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Andhra Pradesh,
Ongole,3.9,2-3 days,October-March,"[' Ongole is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",4,Andhra Pradesh,
Nandyal,3.6,1-2 days,October-March,"[' Nandyal is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Andhra Pradesh,
Machilipatnam,4.1,2-3 days,October-March,"[' Machilipatnam is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,Andhra Pradesh,
Adoni,3.5,1-2 days,October-March,"[' Adoni is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Andhra Pradesh,
Tenali,3.7,1-2 days,October-March,"[' Tenali is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Andhra Pradesh,
Proddatur,3.8,1-2 days,October-March,"[' Proddatur is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Andhra Pradesh,
Chittoor,4,2-3 days,October-March,"[' Chittoor is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,Andhra Pradesh,
Hindupur,3.6,1-2 days,October-March,"[' Hindupur is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Andhra Pradesh,
Bhimavaram,4.2,2-3 days,October-March,"[' Bhimavaram is a beautiful destination in Andhra Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,Andhra Pradesh,
Itanagar,4.3,2-3 days,March-June,"[' Itanagar is a beautiful destination in Arunachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",2,Arunachal Pradesh,
Tawang,4.8,3-4 days,March-June,"[' Tawang is a beautiful destination in Arunachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 3-4 days getaway. ']",4,Arunachal Pradesh,
Pasighat,4.1,2-3 days,March-June,"[' Pasighat is a beautiful destination in Arunachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,Arunachal Pradesh,
Ziro,4.5,2-3 days,March-June,"[' Ziro is a beautiful destination in Arunachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,Arunachal Pradesh,
Bomdila,4.2,1-2 days,March-June,"[' Bomdila is a beautiful destination in Arunachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Arunachal Pradesh,
Roing,4,2-3 days,March-June,"[' Roing is a beautiful destination in Arunachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",2,Arunachal Pradesh,
Tezu,3.9,1-2 days,March-June,"[' Tezu is a beautiful destination in Arunachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Arunachal Pradesh,
Aalo,4.1,2-3 days,March-June,"[' Aalo is a beautiful destination in Arunachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,Arunachal Pradesh,
Khonsa,3.8,1-2 days,March-June,"[' Khonsa is a beautiful destination in Arunachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Arunachal Pradesh,
Yingkiong,4,2-3 days,March-June,"[' Yingkiong is a beautiful destination in Arunachal Pradesh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,Arunachal Pradesh,
Guwahati,4.4,2-3 days,October-April,"[' Guwahati is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",2,Assam,
Silchar,4,1-2 days,October-April,"[' Silchar is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Assam,
Dibrugarh,4.2,2-3 days,October-April,"[' Dibrugarh is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,Assam,
Jorhat,4.1,1-2 days,October-April,"[' Jorhat is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Assam,
Nagaon,3.9,1-2 days,October-April,"[' Nagaon is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Assam,
Tinsukia,4,2-3 days,October-April,"[' Tinsukia is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",2,Assam,
Tezpur,4.3,2-3 days,October-April,"[' Tezpur is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",4,Assam,
Bongaigaon,3.8,1-2 days,October-April,"[' Bongaigaon is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Assam,
Diphu,3.7,1-2 days,October-April,"[' Diphu is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Assam,
Dhubri,3.6,1-2 days,October-April,"[' Dhubri is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Assam,
North Lakhimpur,3.9,2-3 days,October-April,"[' North Lakhimpur is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",2,Assam,
Karimganj,3.8,1-2 days,October-April,"[' Karimganj is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Assam,
Sivasagar,4.5,2-3 days,October-April,"[' Sivasagar is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,Assam,
Goalpara,3.7,1-2 days,October-April,"[' Goalpara is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Assam,
Barpeta,4,2-3 days,October-April,"[' Barpeta is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,Assam,
Lanka,3.5,1-2 days,October-April,"[' Lanka is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Assam,
Hojai,3.6,1-2 days,October-April,"[' Hojai is a beautiful destination in Assam, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Assam,
Patna,4.2,2-3 days,October-April,"[' Patna is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,Bihar,
Gaya,4.4,2-3 days,October-April,"[' Gaya is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,Bihar,
Bhagalpur,4,1-2 days,October-April,"[' Bhagalpur is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Bihar,
Muzaffarpur,3.9,1-2 days,October-April,"[' Muzaffarpur is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Bihar,
Purnia,3.8,1-2 days,October-April,"[' Purnia is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Bihar,
Darbhanga,4.1,2-3 days,October-April,"[' Darbhanga is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,Bihar,
Bihar Sharif,4.2,2-3 days,October-April,"[' Bihar Sharif is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,Bihar,
Arrah,3.7,1-2 days,October-April,"[' Arrah is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Bihar,
Begusarai,3.9,1-2 days,October-April,"[' Begusarai is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Bihar,
Katihar,3.8,1-2 days,October-April,"[' Katihar is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Bihar,
Munger,4,2-3 days,October-April,"[' Munger is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,Bihar,
Chhapra,3.7,1-2 days,October-April,"[' Chhapra is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Bihar,
Danapur,3.8,1-2 days,October-April,"[' Danapur is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Bihar,
Saharsa,3.6,1-2 days,October-April,"[' Saharsa is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Bihar,
Hajipur,3.9,1-2 days,October-April,"[' Hajipur is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Bihar,
Sasaram,4.3,2-3 days,October-April,"[' Sasaram is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,Bihar,
Dehri,3.7,1-2 days,October-April,"[' Dehri is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Bihar,
Siwan,3.8,1-2 days,October-April,"[' Siwan is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Bihar,
Motihari,3.9,1-2 days,October-April,"[' Motihari is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Bihar,
Nawada,4,2-3 days,October-April,"[' Nawada is a beautiful destination in Bihar, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",4,Bihar,
Raipur,4.2,2-3 days,October-April,"[' Raipur is a beautiful destination in Chhattisgarh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,Chhattisgarh,
Bhilai,4.1,2-3 days,October-April,"[' Bhilai is a beautiful destination in Chhattisgarh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,Chhattisgarh,
Bilaspur,4,2-3 days,October-April,"[' Bilaspur is a beautiful destination in Chhattisgarh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,Chhattisgarh,
Korba,3.9,1-2 days,October-April,"[' Korba is a beautiful destination in Chhattisgarh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Chhattisgarh,
Rajnandgaon,3.8,1-2 days,October-April,"[' Rajnandgaon is a beautiful destination in Chhattisgarh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Chhattisgarh,
Raigarh,3.9,1-2 days,October-April,"[' Raigarh is a beautiful destination in Chhattisgarh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Chhattisgarh,
Jagdalpur,4.4,2-3 days,October-April,"[' Jagdalpur is a beautiful destination in Chhattisgarh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,Chhattisgarh,
Ambikapur,4.1,2-3 days,October-April,"[' Ambikapur is a beautiful destination in Chhattisgarh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,Chhattisgarh,
Dhamtari,3.7,1-2 days,October-April,"[' Dhamtari is a beautiful destination in Chhattisgarh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Chhattisgarh,
Chirmiri,3.8,1-2 days,October-April,"[' Chirmiri is a beautiful destination in Chhattisgarh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Chhattisgarh,
Bhatapara,3.6,1-2 days,October-April,"[' Bhatapara is a beautiful destination in Chhattisgarh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Chhattisgarh,
Mahasamund,3.7,1-2 days,October-April,"[' Mahasamund is a beautiful destination in Chhattisgarh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Chhattisgarh,
Dalli-Rajhara,3.6,1-2 days,October-April,"[' Dalli-Rajhara is a beautiful destination in Chhattisgarh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Chhattisgarh,
Kanker,3.9,1-2 days,October-April,"[' Kanker is a beautiful destination in Chhattisgarh, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Chhattisgarh,
Panaji,4.6,2-3 days,October-March,"[' Panaji is a beautiful destination in Goa, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",4,Goa,
Vasco Da Gama,4.3,2-3 days,October-March,"[' Vasco da Gama is a beautiful destination in Goa, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,Goa,
Margao,4.2,2-3 days,October-March,"[' Margao is a beautiful destination in Goa, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",3,Goa,
Mapusa,4.1,1-2 days,October-March,"[' Mapusa is a beautiful destination in Goa, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",0,Goa,
Ponda,4,1-2 days,October-March,"[' Ponda is a beautiful destination in Goa, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Goa,
Bicholim,3.8,1-2 days,October-March,"[' Bicholim is a beautiful destination in Goa, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",4,Goa,
Curchorem,3.7,1-2 days,October-March,"[' Curchorem is a beautiful destination in Goa, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",1,Goa,
Sanguem,3.8,1-2 days,October-March,"[' Sanguem is a beautiful destination in Goa, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",3,Goa,
Canacona,4.5,2-3 days,October-March,"[' Canacona is a beautiful destination in Goa, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",0,Goa,
Quepem,3.9,1-2 days,October-March,"[' Quepem is a beautiful destination in Goa, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 1-2 days getaway. ']",2,Goa,
Surat,4.3,2-3 days,October-March,"[' Surat is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",4,Gujarat,
Vadodara,4.2,2-3 days,October-March,"[' Vadodara is a beautiful destination in Gujarat, known for its unique culture, historical landmarks, and vibrant local life. A perfect spot for a 2-3 days getaway. ']",1,Gujarat,
