Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
Trident Hotel Cochin,4.5,Kochi,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,5406
"Nihara Resort & Spa, Kadamakudy Island, Kochi",4.3,Kochi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Room service,4692
Ayurjani Ayurvedics,4.2,Kochi,Sleeps 4,2 bedrooms,Air conditioning,Fireplace,Paid parking,No crib,No elevator,No fitness center,No ironing board,896
Niko Hotels,4.6,Kochi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Accessible,2073
Crowne Plaza Kochi,4.6,Kochi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,8776
The Gateway Hotel Marine Drive Ernakulam,4.3,Kochi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,7252
Napier Heritage Fort Kochi,4.5,Kochi,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,Full-service laundry,3808
"Radisson Blu Hotel, Kochi",4.3,Kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6039
Maurya Rajadhani,4.0,Trivandrum,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar,2812
"Biverah Hotel and Suites, 4-star hotels in Trivandrum, Medical college, kims hospital, hotels in trivandrum, budget hotel",3.8,Trivandrum,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,2898
Montecello Home Stay,3.2,Trivandrum,Free Wi-Fi,Paid parking,Pet-friendly,Beach access,Kitchen,Full-service laundry,Kid-friendly,0,0,643
HOTEL HIGHLAND,4.0,Trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1350
Ariya Nivaas - A Vegetarian Hotel,4.2,Trivandrum,2-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Accessible,Kid-friendly,2401
PLANET RESIDENCY,4.5,Trivandrum,Free Wi-Fi,Paid parking,Air conditioning,Breakfast,Kitchen,0,0,0,0,1263
Saras Park Inn,3.4,Trivandrum,2-star hotel,Air conditioning,Kitchen,Full-service laundry,Kid-friendly,0,0,0,0,875
Stayzone Royal INN,3.7,Trivandrum,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,909
Hotel Prathiba Heritage,3.7,Trivandrum,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,Smoke-free,0,0,956
Adara Residency,4.3,Trivandrum,0,0,0,0,0,0,0,0,0,1616
Hotel Venkateswara,3.7,Trivandrum,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,1347
Hilton Garden Inn Trivandrum,4.3,Trivandrum,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6837
KTDC Grand Chaithram,4.1,Trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2509
Majestic Lodge,4.1,Trivandrum,Free breakfast,Free Wi-Fi,Paid parking,Kitchen,0,0,0,0,0,1236
Safire Residency,4.0,Trivandrum,3-star hotel,Wi-Fi,Air conditioning,Pet-friendly,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,1165
Hotel Sunday - Townhouse Club - Near Airport - Trivandrum,3.7,Trivandrum,Breakfast,Free Wi-Fi,Free parking,Kitchen,Airport shuttle,Full-service laundry,0,0,0,1120
Meghna Residency,3.6,Trivandrum,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Airport shuttle,Full-service laundry,Accessible,831
The South Gate By WB Hotels,3.9,Trivandrum,Free breakfast,Free Wi-Fi,Air conditioning,Room service,Full-service laundry,Kid-friendly,0,0,0,2111
Anies Garden | Rooms in a Homestay,4.3,Trivandrum,Sleeps 5,2 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,1645
Treebo Trend Goodland Residency,4.1,Trivandrum,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,4265
Windsor Rajadhani,4.1,Trivandrum,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4341
Backwater Ripples,4.4,Kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,8968
Lakesong Resort,4.2,Kumarakom,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,11948
Abad Whispering Palms | Resort in Kumarakom,4.3,Kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6921
Cocobay Resort,4.2,Kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6138
Paradise Resorts Kumarakom,4.1,Kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Airport shuttle,5148
"The Zuri Kumarakom, Kerala Resort & Spa",4.3,Kumarakom,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,13682
Saro Lake County,4.0,Kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Kitchen,Airport shuttle,2945
Kumarakom Heritage Resort & Ayurveda,4.1,Kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Bar,Restaurant,5355
Rhythm Kumarakom,4.5,Kumarakom,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,14712
Manor Backwater Resort,3.8,Kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,3024
ILLIKKALAM Lakeside Cottages,4.1,Kumarakom,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,3549
KTDC Waterscapes,4.5,Kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,10560
Backwater Brook,4.7,Kumarakom,Free breakfast,Free Wi-Fi,Pool,Restaurant,Kitchen,Full-service laundry,Kid-friendly,0,0,5063
Gokulam Grand Resort and Spa Kumarakom,4.7,Kumarakom,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,Room service,14059
Backwater Ripples,4.4,Kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,8961
Lily Pad on the Vembanad,4.2,Kumarakom,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Spa,Restaurant,Room service,6160
Kumarakom Lake Resort,4.8,Kumarakom,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,30267
Renai Green Fields,3.8,Kumarakom,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,2849
Kumarakom Park Resort,4.3,Kumarakom,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,6726
Meenakshi River Villa | Rooms & Wi-Fi,4.5,Kumarakom,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,3488
Kumarakom Wood Castle,4.4,Kumarakom,Sleeps 3,1 bedroom,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,2861
Abad Whispering Palms | Resort in Kumarakom,4.3,Kumarakom,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,7999
ILLIKKALAM Lakeside Cottages,4.1,Kumarakom,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,3724
Treebo Trend Kuval Inn,4.2,Pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Full-service laundry,Kid-friendly,0,0,2084
Hotel Corporate Stay,4.0,Pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2123
Jugglers Backpack,4.7,Pune,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Business center,1116
Hyatt Pune,4.4,Pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,9701
"The Central Park Hotel, Pune",4.1,Pune,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,3708
"Four Points by Sheraton Hotel & Serviced Apartments, Pune",4.3,Pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6796
Hotel Phoenix,4.0,Pune,3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2752
Hotel anvisha executive,4.4,Pune,0,0,0,0,0,0,0,0,0,1067
EMA Family Rooms,3.8,Pune,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Kitchen,Cable TV,Paid parking,Free Wi-Fi,No crib,1241
JM Four Hotel,3.9,Pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2550
Royal Orchid Central Pune,4.3,Pune,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5085
"StayBird - B Suite, Business Hotel",4.0,Pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2512
Hotel Sardar,3.5,Pune,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,1344
Sunny's World,4.2,Pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,Accessible,4549
Procida Hostel by Zero Jhanjhat,4.4,Pune,Breakfast,Free Wi-Fi,Pool,Restaurant,Full-service laundry,0,0,0,0,921
The Oakwood,4.0,Pune,4-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,3333
Sheraton Grand Pune Bund Garden Hotel,4.5,Pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,9435
Pratikruti The Lakeview Resort,4.2,Pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,1284
Hotel Centro,4.4,Pune,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Kid-friendly,2607
St Laurn Hotel,3.9,Pune,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,4381
Cherry Tree | Rooms & Wi-Fi,3.6,Pune,Sleeps 3,1 bedroom,Air conditioning,Fireplace,Free parking,Free Wi-Fi,No crib,No elevator,No fitness center,1588
Fairfield by Marriott Pune Kharadi,4.3,Pune,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,7280
Sunny's World,4.2,Pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,Accessible,4549
Novotel Chennai Sipcot,4.7,Chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5145
Park Plaza Chennai OMR,4.1,Chennai,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4704
Avenue 11 Boutique Residences | Rooms & Caretaker,4.0,Chennai,Sleeps 8,3 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,3853
"Olive Inn Luxurious 4-BHK Villa with Indoor Swimming Pool, Wifi, BBQ",3.4,Chennai,Villa,Sleeps 10,4 bedrooms,7 bathrooms,Air conditioning,Pool,Kitchen,Smoke-free,Free parking,9753
Juhu Beach House ECR,4.5,Chennai,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Kitchen,Full-service laundry,0,0,4965
Umino Beach Resort Banquet Hall and Restaurant,4.3,Chennai,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,Full-service laundry,3677
VGP Golden Beach Resort,3.9,Chennai,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Beach access,4267
"Regenta Central RS, Chennai(OMR). 4 Star Hotel",4.2,Chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,3366
Turyaa Chennai,4.3,Chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,3797
Blue Lagoon Beach Resort,3.9,Chennai,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,6402
Fairfield by Marriott Chennai OMR,4.2,Chennai,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3707
Four Points by Sheraton Chennai OMR,4.2,Chennai,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,5053
"Taj Club House, Chennai",4.4,Chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,7552
"Vivanta Chennai, IT Expressway",4.3,Chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,5485
Ilara Hotels & Spa,4.6,Chennai,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Room service,4234
Maroma Suites,4.5,Chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,3795
The Madras Grand - Hotel Egmore,4.5,Chennai,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,Full-service laundry,4974
"Holiday Inn Express Chennai Omr Thoraipakkam, an IHG Hotel",4.1,Chennai,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,3859
"Crowne Plaza New Delhi Rohini, an IHG Hotel",4.4,Delhi,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7825
ट्राइडेंट होटल,4.6,Delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,12272
Nu Delhi Homestay - Deluxe Double Room,4.6,Delhi,House,Sleeps 2,1 bedroom,1 bathroom,2 beds,Air conditioning,Crib,Fitness center,Heating,1999
The Leela Ambience Convention Hotel Delhi,4.5,Delhi,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,9809
Hotel City Park- Hotels in Delhi,4.2,Delhi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5376
Hotel Mayda Residency By Mayda Hospitality Pvt. Ltd.,4.6,Delhi,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,1212
JRD Pride,4.4,Delhi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,4720
Radisson Blu Hotel New Delhi Paschim Vihar,4.4,Delhi,5-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,7285
IIDL Suites,4.3,Delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5720
Park Inn by Radisson New Delhi IP Extension,4.3,Delhi,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6828
IIDL Suites,3.8,Delhi,Apartment,Sleeps 10,Air conditioning,Airport shuttle,Elevator,Fireplace,Fitness center,Hot tub,Kitchen,6163
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,Delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,8141
Sarovar Portico Naraina,3.9,Delhi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,4536
Hyatt Centric Janakpuri New Delhi,3.8,Delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7484
"Taj Palace, New Delhi",4.7,Delhi,5-star hotel,Breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,15050
The Pamposh,3.7,Delhi,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Full-service laundry,Business center,Kid-friendly,0,3931
Caves by Craftels,4.7,Delhi,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Restaurant,Room service,5040
Bloomrooms @ Janpath,4.4,Delhi,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Full-service laundry,6451
Ramada by Wyndham New Delhi Pitampura,3.9,Delhi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Accessible,6305
Bloom Boutique | GK-1,4.2,Delhi,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,4659
The Grand Parisian,4.2,Delhi,3-star hotel,Free breakfast,Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,4673
amigosindia,4.5,Delhi,1-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Pet-friendly,Restaurant,Kitchen,Airport shuttle,706
Holiday Inn Express New Delhi Int'l Airport T3,4.2,Delhi,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Fitness center,Spa,Paid parking,Bar,Restaurant,14081
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,Delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,10195
Treebo Trend Lazystay Grand - Hotel in Bhubaneswar,4.1,Bhubaneswar,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,2920
"MAYFAIR Convention, Bhubaneswar",4.5,Bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar,6476
Hello Stay Hotel Bhubaneswar,4.2,Bhubaneswar,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,0,1231
Hotel SJ Pride,4.8,Bhubaneswar,2-star hotel,Free Wi-Fi,Pool,Restaurant,Kitchen,Airport shuttle,Full-service laundry,0,0,1239
Empires Hotel Bhubaneswar,4.1,Bhubaneswar,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,3646
"MAYFAIR Convention, Bhubaneswar",4.5,Bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Fitness center,Spa,Bar,5975
"Mango Hotels–Prangan, Bhubaneswar",4.1,Bhubaneswar,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,3126
Mayfair Lagoon,4.6,Bhubaneswar,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,10779
Venus Inn Restaurant,4.1,Bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,1948
Ginger Bhubaneshwar,3.9,Bhubaneswar,2-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,0,2959
THE GREENSTAR INN PREMIUM,4.6,Bhubaneswar,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,0,1512
IRA By Orchid Bhubaneswar ( Formerly Vits Bhubaneswar ),4.1,Bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,3782
Swosti Premium - Luxury 5-Star Hotel in Bhubaneswar,4.3,Bhubaneswar,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6215
"Vivanta Bhubaneswar, DN Square",4.6,Bhubaneswar,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,9089
"Welcomhotel By ITC Hotels, Bhubaneswar-LEED Platinum Certified Premium Hotel Near the Airport| 1.5 hrs away from Puri",4.7,Bhubaneswar,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7616
Hotel Excellency (A Unit of Excellency Resorts Pvt. Ltd.),4.1,Bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,3395
Super OYO Townhouse 235 Swain Heritage,4.4,Bhubaneswar,Apartment,Sleeps 4,2 bedrooms,Air conditioning,Cable TV,Free Wi-Fi,No airport shuttle,No beach access,No elevator,2044
Treebo Trend Oasis,4.2,Bhubaneswar,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,2854
IRA By Orchid Bhubaneswar ( Formerly Vits Bhubaneswar ),4.1,Bhubaneswar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,4367
The Westin Goa,4.6,Goa,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,20650
The LaLiT Golf & Spa Resort Goa,4.4,Goa,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,16756
Casa Seaesta Beach Cottages and Suites,3.6,Goa,Sleeps 6,2 bedrooms,Air conditioning,Airport shuttle,Pool,Smoke-free,Free parking,Free Wi-Fi,No beach access,2466
Radisson Resort Goa Baga,4.8,Goa,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4397
W Goa,4.5,Goa,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,7435
"The Hosteller Goa, Arpora",4.3,Goa,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,0,0,0,1157
Grand Hyatt Goa,4.6,Goa,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,20307
Little India Beach Cottages,4.0,Goa,House,Sleeps 10,5 bedrooms,5 bathrooms,Air conditioning,Pool,Free parking,Free Wi-Fi,No airport shuttle,6947
"Holiday Inn Resort Goa, an IHG Hotel",4.6,Goa,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Beach access,11934
Agonda Paradise Beach Huts,4.2,Goa,Sleeps 9,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No beach access,No crib,4200
Pitruchaya Sea View Cottages by Vyom Trails,4.1,Goa,0,0,0,0,0,0,0,0,0,1617
The LaLiT Golf & Spa Resort Goa,4.4,Goa,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,11855
"Whoopers Boutique Hotel, Anjuna",4.9,Goa,0,0,0,0,0,0,0,0,0,1612
