Name,Diet,State,Price
Balu shahi,vegetarian,West Bengal,53
Chicken Varuval,non vegetarian,Tamil Nadu,122
Doodhpak,vegetarian,Gujarat,72
Jalebi,vegetarian,Uttar Pradesh,50
Farsi Puri,vegetarian,Gujarat,44
Anarsa,vegetarian,Maharashtra,26
Imarti,vegetarian,West Bengal,36
Kumol Sawul,non vegetarian,Assam,102
Sukhdi,vegetarian,Maharashtra,64
Lassi,vegetarian,Punjab,63
Sabudana Khichadi,vegetarian,Maharashtra,57
Dhokla,vegetarian,Gujarat,28
Ledikeni,vegetarian,West Bengal,32
Theeyal,vegetarian,Kerala,102
Gulab jamun,vegetarian,West Bengal,30
Lassi,vegetarian,Punjab,62
Mysore pak,vegetarian,Karnataka,68
Mysore pak,vegetarian,Karnataka,75
Chakali,vegetarian,Maharashtra,23
Kootu,vegetarian,Tamil Nadu,120
Aloo shimla mirch,vegetarian,Punjab,100
Sohan halwa,vegetarian,Uttar Pradesh,37
Shufta,vegetarian,Jammu & Kashmir,29
Uttapam,vegetarian,Unknown,49
Chhena poda,vegetarian,Odisha,36
Boondi,vegetarian,Rajasthan,72
Laddu,vegetarian,Unknown,46
Pork Bharta,non vegetarian,Tripura,94
Gajar ka halwa,vegetarian,Punjab,44
Avial,vegetarian,Kerala,118
Muthiya,vegetarian,Gujarat,50
Chakali,vegetarian,Maharashtra,21
Chingri malai curry,non vegetarian,West Bengal,113
Undhiyu,vegetarian,Gujarat,118
Masor tenga,non vegetarian,Assam,84
Dharwad pedha,vegetarian,Karnataka,69
Sabudana Khichadi,vegetarian,Maharashtra,58
Cheera Doi,vegetarian,West Bengal,32
Kalakand,vegetarian,West Bengal,35
Palathalikalu,vegetarian,Andhra Pradesh,37
Keerai masiyal,vegetarian,Tamil Nadu,100
Rongi,vegetarian,Punjab,116
Sandesh,vegetarian,West Bengal,61
Chana masala,vegetarian,Punjab,115
Pinaca,vegetarian,Goa,44
Shankarpali,vegetarian,Maharashtra,50
Kansar,vegetarian,Gujarat,115
Pani Pitha,vegetarian,Assam,81
Qubani ka meetha,vegetarian,Telangana,47
Kuzhakkattai,vegetarian,Tamil Nadu,96
Adhirasam,vegetarian,West Bengal,69
Aloo shimla mirch,vegetarian,Punjab,96
Samosa,vegetarian,Uttar Pradesh,25
Undhiyu,vegetarian,Gujarat,122
Zunka,vegetarian,Maharashtra,131
Luchi,vegetarian,West Bengal,109
Keerai kootu,vegetarian,Tamil Nadu,123
Bombil fry,non vegetarian,Maharashtra,138
Lauki ke kofte,vegetarian,Uttar Pradesh,133
Rabri,vegetarian,Uttar Pradesh,60
Balu shahi,vegetarian,West Bengal,47
Jeera Aloo,vegetarian,Gujarat,92
Chicken razala,non vegetarian,West Bengal,131
Kos kootu,vegetarian,Tamil Nadu,127
Puttu,vegetarian,Kerala,77
Pantua,vegetarian,West Bengal,73
Dhokla,vegetarian,Gujarat,35
Kajjikaya,vegetarian,Andhra Pradesh,61
Shufta,vegetarian,Jammu & Kashmir,35
Thalipeeth,vegetarian,Maharashtra,78
Coconut vadi,vegetarian,Maharashtra,28
Vegetable jalfrezi,vegetarian,Punjab,93
Kajjikaya,vegetarian,Andhra Pradesh,54
Kuzhambu,vegetarian,Tamil Nadu,123
Sev khamani,vegetarian,Gujarat,97
Sheera,vegetarian,Maharashtra,82
Masor tenga,non vegetarian,Assam,82
Shufta,vegetarian,Jammu & Kashmir,34
Surnoli,vegetarian,Maharashtra,32
Lyangcha,vegetarian,Assam,77
Palak paneer,vegetarian,Punjab,133
Bora Sawul,vegetarian,Assam,131
Chapati,vegetarian,Maharashtra,100
Baingan Fry,vegetarian,Punjab,82
Mushroom do pyaza,vegetarian,Punjab,139
Farsi Puri,vegetarian,Gujarat,44
Pav Bhaji,vegetarian,Maharashtra,122
Theeyal,vegetarian,Kerala,99
Idiappam,vegetarian,Tamil Nadu,32
Boondi,vegetarian,Rajasthan,75
Dosa,vegetarian,Tamil Nadu,32
Pakhala,vegetarian,Odisha,144
Chicken Varuval,non vegetarian,Tamil Nadu,122
Dharwad pedha,vegetarian,Karnataka,68
Patra,vegetarian,Gujarat,19
Til Pitha,vegetarian,Assam,57
Laapsi,vegetarian,Madhya Pradesh,114
Boondi,vegetarian,Rajasthan,76
Boondi,vegetarian,Rajasthan,75
Khakhra,vegetarian,Gujarat,56
Chicken Tikka masala,non vegetarian,Punjab,134
Handwo,vegetarian,Gujarat,25
Brown Rice,vegetarian,Unknown,141
Pesarattu,vegetarian,Andhra Pradesh,21
Gavvalu,vegetarian,Andhra Pradesh,50
Kulfi falooda,vegetarian,Unknown,60
Uttapam,vegetarian,Unknown,56
Undhiyu,vegetarian,Gujarat,118
Kabiraji,non vegetarian,West Bengal,113
Sambar,vegetarian,Unknown,75
Shufta,vegetarian,Jammu & Kashmir,31
Pesarattu,vegetarian,Andhra Pradesh,26
Shahi paneer,vegetarian,Punjab,89
Kumol Sawul,non vegetarian,Assam,99
Kombdi vade,vegetarian,Maharashtra,31
Bombil fry,non vegetarian,Maharashtra,136
Pesarattu,vegetarian,Andhra Pradesh,20
Kombdi vade,vegetarian,Maharashtra,26
Khorisa,vegetarian,Assam,85
Puttu,vegetarian,Kerala,82
Singori,vegetarian,Uttarakhand,46
Aloo matar,vegetarian,Punjab,91
Keerai kootu,vegetarian,Tamil Nadu,122
Poornalu,vegetarian,Andhra Pradesh,32
Poriyal,vegetarian,Tamil Nadu,152
Mishti Chholar Dal,vegetarian,West Bengal,79
Lauki ke kofte,vegetarian,Uttar Pradesh,141
Dharwad pedha,vegetarian,Karnataka,66
Namakpara,vegetarian,Gujarat,41
Shahi paneer,vegetarian,Punjab,83
Churma Ladoo,vegetarian,Rajasthan,37
Sohan halwa,vegetarian,Uttar Pradesh,33
Palathalikalu,vegetarian,Andhra Pradesh,40
Mawa Bati,vegetarian,Madhya Pradesh,53
Rabri,vegetarian,Uttar Pradesh,68
Dal makhani ,vegetarian,Punjab,121
Koldil Chicken,non vegetarian,Assam,89
Mushroom do pyaza,vegetarian,Punjab,140
Kajjikaya,vegetarian,Andhra Pradesh,55
Sabudana Khichadi,vegetarian,Maharashtra,57
Singori,vegetarian,Uttarakhand,42
Papad,vegetarian,Unknown,24
Kheer sagar,vegetarian,Odisha,65
Dharwad pedha,vegetarian,Karnataka,64
Thalipeeth,vegetarian,Maharashtra,86
Pattor,vegetarian,Rajasthan,136
Coconut vadi,vegetarian,Maharashtra,32
Avial,vegetarian,Kerala,121
Vindaloo,non vegetarian,Goa,144
Chhena jalebi,vegetarian,Odisha,40
Kutchi dabeli,vegetarian,Gujarat,59
Kuzhakkattai,vegetarian,Tamil Nadu,99
Kheer sagar,vegetarian,Odisha,69
Kansar,vegetarian,Gujarat,109
Kheer sagar,vegetarian,Odisha,67
Paruppu sadam,vegetarian,Tamil Nadu,102
Gulab jamun,vegetarian,West Bengal,34
Pav Bhaji,vegetarian,Maharashtra,118
Kheer sagar,vegetarian,Odisha,64
Aloo gobi,vegetarian,Punjab,132
Kutchi dabeli,vegetarian,Gujarat,60
Sandige,vegetarian,Karnataka,140
Currivepillai sadam ,vegetarian,Tamil Nadu,136
Idli,vegetarian,Tamil Nadu,39
Sheera,vegetarian,Maharashtra,83
Sevai,vegetarian,Unknown,125
Shahi paneer,vegetarian,Punjab,82
Kumol Sawul,non vegetarian,Assam,101
Makki di roti sarson da saag,vegetarian,Punjab,140
Koshimbir,vegetarian,Maharashtra,131
Kutchi dabeli,vegetarian,Gujarat,55
Copra paak,vegetarian,Gujarat,87
Palathalikalu,vegetarian,Andhra Pradesh,36
Samosa,vegetarian,Uttar Pradesh,30
Mushroom do pyaza,vegetarian,Punjab,139
Poornalu,vegetarian,Andhra Pradesh,29
Mushroom do pyaza,vegetarian,Punjab,142
Undhiyu,vegetarian,Gujarat,120
Dudhi halwa,vegetarian,Gujarat,41
Paravannam,vegetarian,Kerala,78
Puli sadam,vegetarian,Tamil Nadu,138
Paruppu sadam,vegetarian,Tamil Nadu,95
Kootu,vegetarian,Tamil Nadu,121
Mag Dhokli,vegetarian,Gujarat,40
Zunka,vegetarian,Maharashtra,138
Chevdo,vegetarian,Gujarat,48
Biryani,non vegetarian,Telangana,145
Dum aloo,vegetarian,Jammu & Kashmir,138
Khorisa,vegetarian,Assam,83
Kakinada khaja,vegetarian,Andhra Pradesh,35
Poornalu,vegetarian,Andhra Pradesh,30
Rongi,vegetarian,Punjab,116
Ledikeni,vegetarian,West Bengal,29
Zunka,vegetarian,Maharashtra,135
Tandoori Fish Tikka,non vegetarian,Punjab,100
Maach Jhol,non vegetarian,Assam,124
Kaju katli,vegetarian,Unknown,31
Pork Bharta,non vegetarian,Tripura,87
Kos kootu,vegetarian,Tamil Nadu,133
Pav Bhaji,vegetarian,Maharashtra,118
Fara,vegetarian,Chhattisgarh,62
Rajma chaval,vegetarian,Punjab,100
Kachori,vegetarian,Uttar Pradesh,47
Aloo matar,vegetarian,Punjab,94
Malapua,vegetarian,Bihar,39
Veg Kolhapuri,vegetarian,Maharashtra,104
Pav Bhaji,vegetarian,Maharashtra,127
Naan,vegetarian,Punjab,122
Makki di roti sarson da saag,vegetarian,Punjab,141
Jeera Aloo,vegetarian,Gujarat,86
Pithe,vegetarian,Assam,51
Zunka,vegetarian,Maharashtra,132
Makki di roti sarson da saag,vegetarian,Punjab,139
Malapua,vegetarian,Bihar,37
Kajjikaya,vegetarian,Andhra Pradesh,54
Pootharekulu,vegetarian,Andhra Pradesh,61
Coconut vadi,vegetarian,Maharashtra,34
Singori,vegetarian,Uttarakhand,37
Mushroom matar,vegetarian,Punjab,119
Obbattu holige,vegetarian,Karnataka,106
Kulfi falooda,vegetarian,Unknown,54
Chhena jalebi,vegetarian,Odisha,42
Halvasan,vegetarian,Gujarat,54
Keerai masiyal,vegetarian,Tamil Nadu,102
Kumol Sawul,non vegetarian,Assam,99
Attu,vegetarian,Andhra Pradesh,50
Sandige,vegetarian,Karnataka,139
Patra,vegetarian,Gujarat,26
Sambar,vegetarian,Unknown,84
Panjeeri,vegetarian,Uttar Pradesh,48
Masor tenga,non vegetarian,Assam,80
Mohanthal,vegetarian,Gujarat,40
Sev khamani,vegetarian,Gujarat,101
Chicken razala,non vegetarian,West Bengal,134
Kalakand,vegetarian,West Bengal,41
Alu Pitika,non vegetarian,Assam,80
Veg Kolhapuri,vegetarian,Maharashtra,108
Maach Jhol,non vegetarian,Assam,125
Jeera Aloo,vegetarian,Gujarat,91
Kheer,vegetarian,Unknown,26
Upma,vegetarian,Unknown,38
Thepla,vegetarian,Gujarat,55
Dal tadka,vegetarian,Punjab,111
Kheer sagar,vegetarian,Odisha,69
Aloo gobi,vegetarian,Punjab,131
Kumol Sawul,non vegetarian,Assam,97
Chingri malai curry,non vegetarian,West Bengal,117
Vindaloo,non vegetarian,Goa,140
Lilva Kachori,vegetarian,Gujarat,24
Pongal,vegetarian,Tamil Nadu,51
Cheera Doi,vegetarian,West Bengal,30
Mushroom do pyaza,vegetarian,Punjab,141
Vada,vegetarian,Unknown,40
Undhiyu,vegetarian,Gujarat,114
Anarsa,vegetarian,Maharashtra,30
Singori,vegetarian,Uttarakhand,44
Kalakand,vegetarian,West Bengal,33
Makki di roti sarson da saag,vegetarian,Punjab,145
Chingri malai curry,non vegetarian,West Bengal,116
Rajma chaval,vegetarian,Punjab,94
Kuzhakkattai,vegetarian,Tamil Nadu,99
Malapua,vegetarian,Bihar,39
Mawa Bati,vegetarian,Madhya Pradesh,57
Currivepillai sadam ,vegetarian,Tamil Nadu,135
Kolim Jawla,non vegetarian,Maharashtra,101
Mushroom matar,vegetarian,Punjab,116
Mawa Bati,vegetarian,Madhya Pradesh,51
Khorisa,vegetarian,Assam,78
Gavvalu,vegetarian,Andhra Pradesh,50
Kheer sagar,vegetarian,Odisha,69
Poriyal,vegetarian,Tamil Nadu,148
Naan,vegetarian,Punjab,127
Nankhatai,vegetarian,Unknown,47
Keerai masiyal,vegetarian,Tamil Nadu,102
Handwo,vegetarian,Gujarat,33
Vindaloo,non vegetarian,Goa,150
Shankarpali,vegetarian,Maharashtra,50
Kheer,vegetarian,Unknown,25
Vindaloo,non vegetarian,Goa,141
Sambar,vegetarian,Unknown,83
Kalakand,vegetarian,West Bengal,34
Methi na Gota,vegetarian,Gujarat,136
Kachori,vegetarian,Uttar Pradesh,51
Mahim halwa,vegetarian,Maharashtra,60
Kulfi falooda,vegetarian,Unknown,59
Khandvi,vegetarian,Gujarat,41
Halvasan,vegetarian,Gujarat,53
Pindi chana,vegetarian,Punjab,134
Currivepillai sadam ,vegetarian,Tamil Nadu,133
Mysore pak,vegetarian,Karnataka,68
Rajma chaval,vegetarian,Punjab,97
Payokh,vegetarian,Assam,62
Pachadi,vegetarian,Unknown,130
Sheer korma,vegetarian,Telangana,76
Mushroom matar,vegetarian,Punjab,115
Dudhi halwa,vegetarian,Gujarat,47
Chakali,vegetarian,Maharashtra,30
Luchi,vegetarian,West Bengal,104
Bhatura,vegetarian,Punjab,116
Chingri malai curry,non vegetarian,West Bengal,113
Malapua,vegetarian,Bihar,43
Unni Appam,vegetarian,Tamil Nadu,64
Kulfi falooda,vegetarian,Unknown,56
Lassi,vegetarian,Punjab,59
Laddu,vegetarian,Unknown,37
Pithe,vegetarian,Assam,41
Mag Dhokli,vegetarian,Gujarat,41
Kulfi falooda,vegetarian,Unknown,55
Chakali,vegetarian,Maharashtra,28
Pani puri,vegetarian,Uttar Pradesh,57
Puri Bhaji,vegetarian,Maharashtra,153
Pav Bhaji,vegetarian,Maharashtra,127
Khichu,vegetarian,Gujarat,29
Rongi,vegetarian,Punjab,112
Koldil Duck,non vegetarian,Assam,93
Bhindi masala,vegetarian,Punjab,136
Sutar feni,vegetarian,Maharashtra,75
Modak,vegetarian,Maharashtra,52
Chevdo,vegetarian,Gujarat,39
Shrikhand,vegetarian,Maharashtra,31
Khaman,vegetarian,Gujarat,40
Churma Ladoo,vegetarian,Rajasthan,38
Paratha,vegetarian,Punjab,136
Amti,vegetarian,Maharashtra,96
Bombil fry,non vegetarian,Maharashtra,142
Bombil fry,non vegetarian,Maharashtra,140
Shahi tukra,vegetarian,Telangana,44
Bhatura,vegetarian,Punjab,117
Brown Rice,vegetarian,Unknown,148
Kaju katli,vegetarian,Unknown,33
Boondi,vegetarian,Rajasthan,74
Khar,vegetarian,Assam,114
Phirni,vegetarian,Odisha,29
Shahi paneer,vegetarian,Punjab,86
Pongal,vegetarian,Tamil Nadu,49
Veg Kolhapuri,vegetarian,Maharashtra,100
Dalithoy,vegetarian,Maharashtra,137
Chingri malai curry,non vegetarian,West Bengal,119
Makki di roti sarson da saag,vegetarian,Punjab,138
Aloo methi,vegetarian,Punjab,136
Chana masala,vegetarian,Punjab,116
Phirni,vegetarian,Odisha,36
Chole bhature,vegetarian,Punjab,115
Basundi,vegetarian,Gujarat,36
Palathalikalu,vegetarian,Andhra Pradesh,43
Sandige,vegetarian,Karnataka,137
Modak,vegetarian,Maharashtra,60
Sattu ki roti,vegetarian,Bihar,126
Chikki,vegetarian,Maharashtra,32
Kofta,vegetarian,Uttar Pradesh,79
Aloo tikki,vegetarian,Punjab,101
Kalakand,vegetarian,West Bengal,41
Kos kootu,vegetarian,Tamil Nadu,132
Singori,vegetarian,Uttarakhand,36
Cheera Doi,vegetarian,West Bengal,37
Biryani,non vegetarian,Telangana,136
Kachori,vegetarian,Uttar Pradesh,50
Thalipeeth,vegetarian,Maharashtra,84
Chikki,vegetarian,Maharashtra,36
Papadum,vegetarian,Kerala,17
Kadhi pakoda,vegetarian,Haryana,120
Kalakand,vegetarian,West Bengal,36
Payasam,vegetarian,Unknown,51
Shahi paneer,vegetarian,Punjab,91
Khorisa,vegetarian,Assam,87
Petha,vegetarian,Uttar Pradesh,66
Vegetable jalfrezi,vegetarian,Punjab,94
Red Rice,vegetarian,Unknown,134
Mushroom do pyaza,vegetarian,Punjab,142
Saath,vegetarian,Gujarat,120
Mushroom matar,vegetarian,Punjab,121
Double ka meetha,vegetarian,Telangana,37
Kulfi falooda,vegetarian,Unknown,61
Bebinca,vegetarian,Goa,49
Bisi bele bath,vegetarian,Karnataka,143
Sohan halwa,vegetarian,Uttar Pradesh,32
Sev tameta,vegetarian,Gujarat,112
Currivepillai sadam ,vegetarian,Tamil Nadu,136
Dahi vada,vegetarian,Maharashtra,34
Double ka meetha,vegetarian,Telangana,34
Keerai masiyal,vegetarian,Tamil Nadu,107
Paneer tikka masala,vegetarian,Punjab,77
Biryani,non vegetarian,Telangana,145
Khichdi,vegetarian,Unknown,123
Chak Hao Kheer,vegetarian,Manipur,63
Pani Pitha,vegetarian,Assam,81
Idiappam,vegetarian,Tamil Nadu,26
Masor tenga,non vegetarian,Assam,76
Pindi chana,vegetarian,Punjab,139
Kothamali sadam,vegetarian,Tamil Nadu,83
Mishti Chholar Dal,vegetarian,West Bengal,81
Sohan halwa,vegetarian,Uttar Pradesh,34
Kutchi dabeli,vegetarian,Gujarat,53
Samosa,vegetarian,Uttar Pradesh,29
Basundi,vegetarian,Gujarat,44
Keerai masiyal,vegetarian,Tamil Nadu,106
Mushroom matar,vegetarian,Punjab,112
Lauki ke kofte,vegetarian,Uttar Pradesh,133
Chicken Tikka,non vegetarian,Punjab,55
Turiya Patra Vatana sabji,vegetarian,Gujarat,120
Pani puri,vegetarian,Uttar Pradesh,59
Chhena jalebi,vegetarian,Odisha,47
Sattu ki roti,vegetarian,Bihar,132
Pakhala,vegetarian,Odisha,144
Undhiyu,vegetarian,Gujarat,117
Black rice,non vegetarian,Manipur,128
Kalakand,vegetarian,West Bengal,42
Chorafali,vegetarian,Gujarat,54
Methi na Gota,vegetarian,Gujarat,145
Mawa Bati,vegetarian,Madhya Pradesh,54
Baingan Fry,vegetarian,Punjab,76
Dal tadka,vegetarian,Punjab,115
Uttapam,vegetarian,Unknown,49
Laddu,vegetarian,Unknown,39
Daal puri,vegetarian,West Bengal,140
Chapati,vegetarian,Maharashtra,99
Paneer butter masala,vegetarian,Punjab,118
Bhakri,vegetarian,Maharashtra,142
Doodhpak,vegetarian,Gujarat,78
Amti,vegetarian,Maharashtra,103
Sutar feni,vegetarian,Maharashtra,66
Maach Jhol,non vegetarian,Assam,127
Luchi,vegetarian,West Bengal,112
Puri Bhaji,vegetarian,Maharashtra,151
Khichu,vegetarian,Gujarat,30
Saath,vegetarian,Gujarat,120
Lyangcha,vegetarian,Assam,70
Kabiraji,non vegetarian,West Bengal,115
Kakinada khaja,vegetarian,Andhra Pradesh,43
Dosa,vegetarian,Tamil Nadu,30
Chak Hao Kheer,vegetarian,Manipur,70
Saath,vegetarian,Gujarat,119
Petha,vegetarian,Uttar Pradesh,58
Idiappam,vegetarian,Tamil Nadu,24
Churma Ladoo,vegetarian,Rajasthan,36
Methi na Gota,vegetarian,Gujarat,142
Pattor,vegetarian,Rajasthan,131
Dhokla,vegetarian,Gujarat,37
Pesarattu,vegetarian,Andhra Pradesh,26
Koshambri,vegetarian,Karnataka,145
Masor Koni,non vegetarian,Assam,136
Dahi vada,vegetarian,Maharashtra,38
Dahi vada,vegetarian,Maharashtra,37
Idiappam,vegetarian,Tamil Nadu,31
Chole bhature,vegetarian,Punjab,118
Papad,vegetarian,Unknown,16
Pakhala,vegetarian,Odisha,139
Fara,vegetarian,Chhattisgarh,62
Balu shahi,vegetarian,West Bengal,48
Currivepillai sadam ,vegetarian,Tamil Nadu,137
Sohan papdi,vegetarian,Maharashtra,63
Payasam,vegetarian,Unknown,58
Kansar,vegetarian,Gujarat,109
Shahi paneer,vegetarian,Punjab,84
Amti,vegetarian,Maharashtra,101
Copra paak,vegetarian,Gujarat,81
Dal tadka,vegetarian,Punjab,115
Sukhdi,vegetarian,Maharashtra,63
Khakhra,vegetarian,Gujarat,54
Aloo shimla mirch,vegetarian,Punjab,97
Keerai kootu,vegetarian,Tamil Nadu,131
Poha,vegetarian,Maharashtra,60
Aloo tikki,vegetarian,Punjab,102
Khaman,vegetarian,Gujarat,41
Sevai,vegetarian,Unknown,119
Khorisa,vegetarian,Assam,86
Kadai paneer,vegetarian,Punjab,80
Chingri Bhape,non vegetarian,West Bengal,131
Kalakand,vegetarian,West Bengal,39
Daal baati churma,vegetarian,Rajasthan,88
Obbattu holige,vegetarian,Karnataka,111
Coconut vadi,vegetarian,Maharashtra,30
Maach Jhol,non vegetarian,Assam,126
Baingan Fry,vegetarian,Punjab,76
Khichdi,vegetarian,Unknown,125
Kos kootu,vegetarian,Tamil Nadu,130
Keerai sadam,vegetarian,Tamil Nadu,115
Modak,vegetarian,Maharashtra,56
Makki di roti sarson da saag,vegetarian,Punjab,141
Mag Dhokli,vegetarian,Gujarat,40
Kolim Jawla,non vegetarian,Maharashtra,104
Dhokla,vegetarian,Gujarat,38
Bengena Pitika,vegetarian,Assam,130
Kabiraji,non vegetarian,West Bengal,115
Dahi vada,vegetarian,Maharashtra,40
Paravannam,vegetarian,Kerala,81
Jeera Aloo,vegetarian,Gujarat,84
Sheera,vegetarian,Maharashtra,75
Samosa,vegetarian,Uttar Pradesh,32
Kofta,vegetarian,Uttar Pradesh,79
Dharwad pedha,vegetarian,Karnataka,63
Bilahi Maas,non vegetarian,Assam,96
Kothamali sadam,vegetarian,Tamil Nadu,83
Lauki ke kofte,vegetarian,Uttar Pradesh,134
Lilva Kachori,vegetarian,Gujarat,23
Til Pitha,vegetarian,Assam,58
Kumol Sawul,non vegetarian,Assam,100
Dahi vada,vegetarian,Maharashtra,37
Konir Dom,non vegetarian,Assam,94
Adhirasam,vegetarian,West Bengal,63
Tandoori Chicken,non vegetarian,Punjab,100
Cham cham,vegetarian,West Bengal,50
Kajjikaya,vegetarian,Andhra Pradesh,54
Koshimbir,vegetarian,Maharashtra,134
Koldil Chicken,non vegetarian,Assam,80
Chingri malai curry,non vegetarian,West Bengal,119
Jalebi,vegetarian,Uttar Pradesh,48
Shukto,vegetarian,West Bengal,131
Surnoli,vegetarian,Maharashtra,25
Kofta,vegetarian,Uttar Pradesh,79
Kumol Sawul,non vegetarian,Assam,102
